PRVDR_CTGRY_SBTYP_CD,PRVDR_CTGRY_CD,FAC_NAME,PRVDR_NUM,STATE_CD,PGM_TRMNTN_CD,ZIP_CD,Year
1.0,1,DECATUR MORGAN HOSPITAL-PARKWAY CAMPUS,010054,AL,1,35601.0,
1.0,1,FLOWERS HOSPITAL,010055,AL,0,36305.0,
1.0,1,ST VINCENT'S BIRMINGHAM,010056,AL,0,35205.0,
1.0,1,ENTERPRISE HOSPITAL,010057,AL,1,36331.0,
1.0,1,BIBB MEDICAL CENTER,010058,AL,0,35042.0,
1.0,1,LAWRENCE MEDICAL CENTER,010059,AL,0,35650.0,
1.0,1,CLEBURNE COUNTY HOSPITAL,010060,AL,4,36264.0,
1.0,1,HIGHLANDS MEDICAL CENTER,010061,AL,0,35768.0,
1.0,1,WIREGRASS MEDICAL CENTER,010062,AL,0,36340.0,
1.0,1,PHYSICIANS MEDICAL CENTER CARRAWAY,010064,AL,1,35234.0,
1.0,1,RUSSELL HOSPITAL,010065,AL,0,35010.0,
1.0,1,FLORALA MEMORIAL HOSPITAL,010066,AL,1,36442.0,
1.0,1,JOHN A ANDREW COMMUNITY HOSPITAL,010067,AL,1,36088.0,
1.0,1,HEALTHSOUTH METRO WEST HOSPITAL,010068,AL,1,35064.0,
1.0,1,MEDICAL CENTER BARBOUR,010069,AL,0,36027.0,
1.0,1,MEDICAL PARK WEST,010070,AL,1,35218.0,
1.0,1,COOSA VALLEY BAPTIST MEDICAL CENTER,010072,AL,7,35150.0,
1.0,1,CLAY COUNTY HOSPITAL,010073,AL,0,36251.0,
1.0,1,HENRY COUNTY HOSPITAL & NURSING HOME,010074,AL,1,36310.0,
1.0,1,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,010078,AL,0,36207.0,
1.0,1,ATHENS LIMESTONE HOSPITAL,010079,AL,0,35611.0,
1.0,1,LAMAR REGIONAL HOSPITAL,010080,AL,1,35592.0,
1.0,1,BAPTIST MEDICAL CENTER DOWNTOWN,010081,AL,4,36104.0,
1.0,1,SOUTH BALDWIN REGIONAL MEDICAL CENTER,010083,AL,0,36535.0,
1.0,1,UAB HIGHLANDS,010084,AL,1,35205.0,
1.0,1,DECATUR MORGAN HOSPITAL-DECATUR CAMPUS,010085,AL,0,35601.0,
1.0,1,NORTHWEST MEDICAL CENTER,010086,AL,0,35594.0,
1.0,1,UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER,010087,AL,0,36617.0,
1.0,1,WALKER BAPTIST MEDICAL CENTER,010089,AL,0,35502.0,
1.0,1,PROVIDENCE HOSPITAL,010090,AL,0,36608.0,
1.0,1,GROVE HILL MEMORIAL HOSPITAL,010091,AL,0,36451.0,
1.0,1,D C H REGIONAL MEDICAL CENTER,010092,AL,0,35401.0,
1.0,1,NORTHWEST MEDICAL CENTER,010094,AL,4,35653.0,
1.0,1,HALE COUNTY HOSPITAL,010095,AL,0,36744.0,
1.0,1,ABERNETHY MEMORIAL HOSPITAL,010096,AL,1,36441.0,
1.0,1,ELMORE COMMUNITY HOSPITAL,010097,AL,0,36092.0,
1.0,1,RANDOLPH MEDICAL CENTER,010098,AL,1,36274.0,
1.0,1,D W MCMILLAN MEMORIAL HOSPITAL,010099,AL,0,36426.0,
1.0,1,THOMAS HOSPITAL,010100,AL,0,36532.0,
1.0,1,CITIZENS BAPTIST MEDICAL CENTER,010101,AL,0,35161.0,
1.0,1,J PAUL JONES HOSPITAL,010102,AL,0,36726.0,
1.0,1,PRINCETON BAPTIST MEDICAL CENTER,010103,AL,0,35211.0,
1.0,1,GRANDVIEW MEDICAL CENTER,010104,AL,0,35243.0,
1.0,1,PRATTVILLE BAPTIST HOSPITAL,010108,AL,0,36067.0,
1.0,1,PICKENS COUNTY MEDICAL CENTER,010109,AL,0,35447.0,
1.0,1,BULLOCK COUNTY HOSPITAL,010110,AL,0,36089.0,
1.0,1,GUIN HOSPITAL,010111,AL,6,35563.0,
1.0,1,BRYAN W. WHITFIELD MEMORIAL HOSPITAL,010112,AL,0,36732.0,
1.0,1,MOBILE INFIRMARY MEDICAL CENTER,010113,AL,0,36652.0,
1.0,1,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",010114,AL,0,35021.0,
1.0,1,RED BAY HOSPITAL,010115,AL,1,35582.0,
1.0,1,LONGVIEW GENERAL HOSPITAL,010117,AL,1,35073.0,
1.0,1,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,010118,AL,0,36701.0,
1.0,1,UNIV OF SOUTH AL CHILDRENS AND WOMENS,010119,AL,1,36604.0,
1.0,1,MONROE COUNTY HOSPITAL,010120,AL,0,36460.0,
1.0,1,VAUGHAN REG MED CTR DALLAS AVE CAMPUS,010121,AL,1,36701.0,
1.0,1,CHOCTAW COMMUNITY HOSPITAL,010122,AL,1,36904.0,
1.0,1,FLORENCE HOSPITAL,010123,AL,4,35630.0,
1.0,1,MEDICAL CENTER SHOALS,010124,AL,4,35662.0,
1.0,1,LAKELAND COMMUNITY HOSPITAL,010125,AL,0,35565.0,
1.0,1,TROY REGIONAL MEDICAL CENTER,010126,AL,0,36081.0,
1.0,1,HUNTSVILLE HOSPITAL EAST,010127,AL,1,35801.0,
1.0,1,JACKSON MEDICAL CENTER,010128,AL,0,36545.0,
1.0,1,NORTH BALDWIN INFIRMARY,010129,AL,0,36507.0,
1.0,1,ST VINCENT'S ST CLAIR,010130,AL,0,35125.0,
1.0,1,CRESTWOOD MEDICAL CENTER,010131,AL,0,35801.0,
1.0,1,LIVINGTON TOMBIGBEE,010133,AL,4,35470.0,
1.0,1,WASHINGTON COUNTY INFIRMARY,010134,AL,7,36518.0,
1.0,1,D E JACKSON MEMORIAL HOSPITAL,010136,AL,1,35647.0,
1.0,1,COOPER GREEN MERCY HOSPITAL,010137,AL,1,35233.0,
1.0,1,HILL HOSPITAL OF SUMTER COUNTY,010138,AL,0,36925.0,
1.0,1,BROOKWOOD MEDICAL CENTER,010139,AL,0,35209.0,
1.0,1,WOODLAND MEDICAL CENTER,010143,AL,1,35055.0,
1.0,1,SPRINGHILL MEMORIAL HOSPITAL,010144,AL,0,36608.0,
1.0,1,NORTHPORT MEDICAL CENTER,010145,AL,1,35476.0,
1.0,1,RMC JACKSONVILLE,010146,AL,0,36265.0,
1.0,1,EVERGREEN MEDICAL CENTER,010148,AL,0,36401.0,
1.0,1,BAPTIST MEDICAL CENTER EAST,010149,AL,0,36117.0,
1.0,1,L V STABLER MEMORIAL HOSPITAL,010150,AL,0,36037.0,
1.0,1,INFIRMARY WEST,010152,AL,1,36693.0,
1.0,1,D C H REHABILITATION PAVILION,010153,AL,4,35401.0,
1.0,1,VAUGHAN PERRY HOSPITAL,010155,AL,4,36756.0,
1.0,1,"LONG TERM CARE HOSPITAL AT JACKSON,THE",010156,AL,7,36106.0,
1.0,1,SHOALS HOSPITAL,010157,AL,0,35661.0,
1.0,1,RUSSELLVILLE HOSPITAL,010158,AL,0,35653.0,
1.0,1,FLORENCE HOSPITAL,010159,AL,4,35630.0,
1.0,1,RAMSAY YOUTH SERVICES-DOTHAN,010160,AL,7,36301.0,
1.0,1,SELECT SPECIALTY HOSPITAL,010161,AL,7,35213.0,
1.0,1,"LONG TERM CARE HOSP AT MED CENTER EAST,THE",010162,AL,7,35235.0,
1.0,1,"LTC HOSP AT SE AL MED CTR,THE",010163,AL,7,36302.0,
1.0,1,COOSA VALLEY MEDICAL CENTER,010164,AL,0,35150.0,
1.0,1,THE LONG TERM CARE HOSPITAL AT REGIONAL MEDICAL CT,010165,AL,1,36207.0,
1.0,1,UAB HIGHLANDS,010167,AL,0,35205.0,
1.0,1,JACK HUGHSTON MEMORIAL HOSPITAL,010168,AL,0,36867.0,
1.0,1,ATMORE COMMUNITY HOSPITAL,010169,AL,0,36502.0,
1.0,1,"NOLAND HOSPITAL SHELBY, LLC",010170,AL,1,35007.0,
1.0,1,CHOCTAW GENERAL HOSPITAL,010171,AL,7,36904.0,
1.0,1,NORTH ALABAMA SPECIALITY HOSPITAL,010172,AL,0,35611.0,
1.0,1,PROVIDENCE ALASKA MEDICAL CENTER,020001,AK,0,99508.0,
1.0,1,SITKA COMMUNITY HOSPITAL,020002,AK,7,99835.0,
1.0,1,KETCHIKAN GENERAL HOSPITAL,020004,AK,7,99901.0,
1.0,1,NORTON SOUND REGIONAL HOSPITAL,020005,AK,7,99762.0,
1.0,1,MAT-SU REGIONAL MEDICAL CENTER,020006,AK,0,99645.0,
1.0,1,WRANGELL MEDICAL CENTER,020007,AK,7,99929.0,
1.0,1,BARTLETT REGIONAL HOSPITAL,020008,AK,0,99801.0,
1.0,1,PETERSBURG MEDICAL CENTER,020009,AK,7,99833.0,
1.0,1,CORDOVA COMMUNITY MEDICAL CENTER,020010,AK,1,99574.0,
1.0,1,PROVIDENCE SEWARD HOSPITAL,020011,AK,7,99664.0,
1.0,1,FAIRBANKS MEMORIAL HOSPITAL,020012,AK,0,99701.0,
1.0,1,PROVIDENCE KODIAK ISLAND MEDICAL CENTE,020013,AK,1,99615.0,
1.0,1,SOUTH PENINSULA HOSPITAL,020014,AK,7,99603.0,
1.0,1,FAITH HOSPITAL,020016,AK,1,99588.0,
1.0,1,ALASKA REGIONAL HOSPITAL,020017,AK,0,99508.0,
1.0,1,YUKON KUSKOKWIM DELTA REG HOSPITAL,020018,AK,0,99559.0,
1.0,1,SAMUEL SIMMONDS MEMORIAL HOSPITAL,020019,AK,7,99723.0,
1.0,1,MANILAQ HEALTH CENTER,020020,AK,7,99752.0,
1.0,1,BRISTOL BAY AREA HEALTH CORP,020021,AK,7,99576.0,
1.0,1,CENTRAL PENINSULA GENERAL HOSPITAL,020024,AK,0,99669.0,
1.0,1,VALDEZ COMMUNITY HOSPITAL,020025,AK,7,99686.0,
1.0,1,ALASKA NATIVE MEDICAL CENTER,020026,AK,0,99508.0,
1.0,1,MT EDGECUMBE HOSPITAL,020027,AK,7,99835.0,
1.0,1,ST ELIAS SPECIALTY HOSPITAL,020028,AK,1,99503.0,
1.0,1,ABRAZO MARYVALE CAMPUS,030001,AZ,0,85031.0,
1.0,1,BANNER - UNIVERSITY MEDICAL CENTER PHOENIX,030002,AZ,0,85006.0,
1.0,1,PHOENIX MEMORIAL HOSPITAL,030003,AZ,1,85007.0,
1.0,1,SAGE MEMORIAL HOSPITAL,030004,AZ,7,86505.0,
1.0,1,TUCSON MEDICAL CENTER,030006,AZ,0,85712.0,
1.0,1,VERDE VALLEY MEDICAL CENTER,030007,AZ,0,86326.0,
1.0,1,PHOENIX REGIONAL MEDICAL CENTER,030008,AZ,1,85016.0,
1.0,1,KINO COMMUNITY HOSPITAL,030009,AZ,1,85713.0,
1.0,1,ST. MARY'S HOSPITAL,030010,AZ,0,85745.0,
1.0,1,ST JOSEPH'S HOSPITAL,030011,AZ,0,85711.0,
1.0,1,YAVAPAI REGIONAL MEDICAL CENTER,030012,AZ,0,86301.0,
1.0,1,YUMA REGIONAL MEDICAL CENTER,030013,AZ,0,85364.0,
1.0,1,JOHN C. LINCOLN MEDICAL CENTER,030014,AZ,0,85020.0,
1.0,1,BANNER CASA GRANDE MEDICAL CENTER,030016,AZ,0,85222.0,
1.0,1,MESA GENERAL HOSPITAL,030017,AZ,1,85201.0,
1.0,1,BANNER MESA MEDICAL CENTER,030018,AZ,1,85201.0,
1.0,1,"TEMPE ST LUKE'S HOSPITAL, A CAMPUS OF ST LUKE'S ME",030019,AZ,1,85281.0,
1.0,1,PHOENIX GENERAL HOSPITAL,030020,AZ,1,85036.0,
1.0,1,MARICOPA MEDICAL CENTER,030022,AZ,0,85008.0,
1.0,1,FLAGSTAFF MEDICAL CENTER,030023,AZ,0,86001.0,
1.0,1,ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER,030024,AZ,0,85013.0,
1.0,1,WICKENBURG REGIONAL HOSPITAL,030025,AZ,1,85390.0,
1.0,1,COPPER QUEEN COMMUNITY HOSPITAL (CLOSED),030027,AZ,7,85603.0,
1.0,1,ABRAZO CENTRAL CAMPUS,030030,AZ,0,85015.0,
1.0,1,BANNER PAYSON MEDICAL CENTER,030033,AZ,0,85541.0,
1.0,1,SOUTHEAST ARIZONA MEDICAL CENTER,030034,AZ,7,85607.0,
1.0,1,TUCSON GENERAL HOSPITAL,030035,AZ,1,85719.0,
1.0,1,CHANDLER REGIONAL MEDICAL CENTER,030036,AZ,0,85224.0,
1.0,1,ST LUKE'S MEDICAL CENTER,030037,AZ,0,85006.0,
1.0,1,SCOTTSDALE OSBORN MEDICAL CENTER,030038,AZ,0,85251.0,
1.0,1,CARONDELET HOLY CROSS HOSPITAL - CLOSED,030040,AZ,1,85621.0,
1.0,1,NORTHERN COCHISE COMMUNITY HOSPITAL,030041,AZ,1,85643.0,
1.0,1,CANYON VISTA MEDICAL CENTER,030043,AZ,0,85635.0,
1.0,1,WINSLOW MEMORIAL HOSPITAL,030044,AZ,7,86047.0,
1.0,1,WHITE MOUNTAIN REGIONAL MEDICAL CENTER,030046,AZ,1,85938.0,
1.0,1,PAGE HOSPITAL,030047,AZ,7,86040.0,
1.0,1,MORENCI HOSPITAL,030048,AZ,1,85540.0,
1.0,1,CENTRAL ARIZONA MEDICAL CENTER,030049,AZ,1,85232.0,
1.0,1,OMNI REGIONAL MEDICAL CENTER,030051,AZ,4,85501.0,
1.0,1,BENSON HOSPITAL,030054,AZ,1,85602.0,
1.0,1,KINGMAN REGIONAL MEDICAL CENTER,030055,AZ,0,86409.0,
1.0,1,VALLEY VIEW COMMUNITY HOSPITAL,030057,AZ,1,85363.0,
1.0,1,ARIZONA SURGICAL HOSPITAL,030059,AZ,5,85015.0,
1.0,1,COBRE VALLEY COMMUNITY HOSPITAL,030060,AZ,7,85501.0,
1.0,1,BANNER BOSWELL MEDICAL CENTER,030061,AZ,0,85351.0,
1.0,1,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER,030062,AZ,0,85901.0,
1.0,1,SCOTTSDALE COMMUNITY HOSPITAL,030063,AZ,1,85257.0,
1.0,1,BANNER-UNIVERSITY MEDICAL CENTER TUCSON CAMPUS,030064,AZ,0,85724.0,
1.0,1,BANNER DESERT MEDICAL CENTER,030065,AZ,0,85202.0,
1.0,1,LA PAZ REGIONAL HOSPITAL,030067,AZ,7,85344.0,
1.0,1,MT. GRAHAM REGIONAL MEDICAL CENTER,030068,AZ,0,85546.0,
1.0,1,HAVASU REGIONAL MEDICAL CENTER,030069,AZ,0,86403.0,
1.0,1,FORT DEFIANCE INDIAN HOSPITAL,030071,AZ,0,86504.0,
1.0,1,PHS INDIAN HOSPITAL,030072,AZ,1,86034.0,
1.0,1,TUBA CITY REGIONAL HEALTH CARE CORPORATION,030073,AZ,0,86045.0,
1.0,1,SELLS INDIAN  HOSPITAL,030074,AZ,0,85634.0,
1.0,1,HU HU KAM MEMORIAL HOSPITAL,030076,AZ,1,85247.0,
1.0,1,SAN CARLOS APACHE HEALTHCARE,030077,AZ,0,85542.0,
1.0,1,PHOENIX INDIAN MEDICAL CENTER,030078,AZ,0,85016.0,
1.0,1,PARKER PHS INDIAN HOSPITAL,030079,AZ,1,85344.0,
1.0,1,EL DORADO HOSPITAL - CLOSED,030080,AZ,1,85712.0,
1.0,1,KENNECOTT SAMARITAN HOSPITAL,030081,AZ,1,85237.0,
1.0,1,ST LUKES BEHAVIORIAL HEALTH CENTER,030082,AZ,1,85006.0,
1.0,1,ABRAZO SCOTTSDALE CAMPUS,030083,AZ,0,85032.0,
1.0,1,CHINLE COMPREHENSIVE HEALTH CARE FACILITY,030084,AZ,0,86503.0,
1.0,1,NORTHWEST MEDICAL CENTER,030085,AZ,0,85741.0,
1.0,1,WESTERN AZ REGIONAL MEDICAL CENTER,030086,AZ,5,86430.0,
1.0,1,SCOTTSDALE SHEA MEDICAL CENTER,030087,AZ,0,85260.0,
1.0,1,BANNER BAYWOOD MEDICAL CENTER,030088,AZ,0,85206.0,
1.0,1,BANNER THUNDERBIRD MEDICAL CENTER,030089,AZ,0,85306.0,
1.0,1,COMMUNITY GENERAL HOSPITAL,030091,AZ,1,86025.0,
1.0,1,HONORHEALTH DEER VALLEY MEDICAL CENTER,030092,AZ,0,85027.0,
1.0,1,BANNER DEL E. WEBB MEDICAL CENTER,030093,AZ,0,85375.0,
1.0,1,ABRAZO ARROWHEAD CAMPUS,030094,AZ,0,85308.0,
1.0,1,"MOHAVE VALLEY HOSPITAL, INC",030095,AZ,1,86442.0,
1.0,1,KANGAROO KIDS,030096,AZ,1,85016.0,
1.0,1,AMERICAN TRANSITIONAL HOSPITAL PHOENIX,030097,AZ,1,85006.0,
1.0,1,AMERICAN TRANSITIONAL HOSPITAL INC,030098,AZ,7,85719.0,
1.0,1,WHITE MOUNTAIN REGIONAL MEDICAL CENTER,030099,AZ,7,85938.0,
1.0,1,CARONDELET HEART AND VASCULAR INSTITUTE,030100,AZ,1,85704.0,
1.0,1,WESTERN ARIZONA REGIONAL MEDICAL CENTER,030101,AZ,0,86442.0,
1.0,1,ARIZONA HEART HOSPITAL,030102,AZ,1,85016.0,
1.0,1,MAYO CLINIC HOSPITAL,030103,AZ,0,85054.0,
1.0,1,SELECT SPECIALTY HOSPITAL,030104,AZ,7,85201.0,
1.0,1,BANNER HEART HOSPITAL,030105,AZ,0,85206.0,
1.0,1,PHOENIX MEMORIAL HOSPITAL,030106,AZ,1,85007.0,
1.0,1,ARIZONA SPINE AND JOINT HOSPITAL,030107,AZ,0,85206.0,
1.0,1,"CORE INSTITUTE SPECIALTY HOSPITAL, THE",030108,AZ,0,85015.0,
1.0,1,PROMISE SPECIALTY HOSP PHX (SEE MED3279 NEW),030109,AZ,7,85006.0,
1.0,1,ABRAZO WEST CAMPUS,030110,AZ,0,85395.0,
1.0,1,BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS,030111,AZ,0,85713.0,
1.0,1,ARIZONA ORTHOPEDIC AND SURGICAL SPECIALITY HOSP,030112,AZ,0,85224.0,
1.0,1,WHITERIVER PHS INDIAN HOSPITAL,030113,AZ,0,85941.0,
1.0,1,ORO VALLEY HOSPITAL,030114,AZ,0,85755.0,
1.0,1,BANNER ESTRELLA MEDICAL CENTER,030115,AZ,0,85037.0,
1.0,1,BARIX CLINICS OF ARIZONA,030116,AZ,1,85255.0,
1.0,1,VALLEY VIEW MEDICAL CENTER,030117,AZ,0,86426.0,
1.0,1,YAVAPAI REGIONAL MEDICAL CENTER-EAST CAMPUS,030118,AZ,1,86314.0,
1.0,1,MERCY GILBERT MEDICAL CENTER,030119,AZ,0,85296.0,
1.0,1,GILBERT HOSPITAL,030120,AZ,0,85295.0,
1.0,1,"MOUNTAIN VISTA MEDICAL CENTER, LP",030121,AZ,0,85209.0,
1.0,1,BANNER GATEWAY MEDICAL CENTER,030122,AZ,0,85234.0,
1.0,1,SCOTTSDALE THOMPSON PEAK MEDICAL CENTER,030123,AZ,0,85255.0,
1.0,1,TRILLIUM SPECIALTY HOSPITAL - EAST VALLEY,030124,AZ,7,85206.0,
1.0,1,TRILLIUM SPECIALTY HOSPITAL-WEST VALLEY,030125,AZ,7,85351.0,
1.0,1,ARIZONA REGIONAL MEDICAL CENTER,030126,AZ,1,85201.0,
1.0,1,WESTERN REGIONAL MEDICAL CENTER CANCER HOSPITAL,030127,AZ,1,85395.0,
1.0,1,HUALAPAI MOUNTAIN MEDICAL CENTER,030128,AZ,1,86401.0,
1.0,1,FLORENCE COMMUNITY HEALTHCARE,030129,AZ,7,85132.0,
1.0,1,BANNER IRONWOOD MEDICAL CENTER,030130,AZ,0,85140.0,
1.0,1,O.A.S.I.S. HOSPITAL,030131,AZ,0,85008.0,
1.0,1,"FLORENCE HOSPITAL AT ANTHEM, LLC",030132,AZ,0,85132.0,
1.0,1,GLOBALREHAB AT SCOTTSDALE HEALTHCARE,030133,AZ,1,85258.0,
1.0,1,BANNER GOLDFIELD MEDICAL CENTER,030134,AZ,0,85120.0,
1.0,1,FREEDOM PAIN HOSPITAL,030135,AZ,5,85255.0,
1.0,1,DIGNITY HEALTH - ARIZONA GENERAL HOSPITAL,030136,AZ,0,85339.0,
1.0,1,GREEN VALLEY HOSPITAL,030137,AZ,0,85614.0,
1.0,1,SILOAM SPRINGS REGIONAL HOSPITAL,040001,AR,0,72761.0,
1.0,1,JOHNSON REGIONAL MEDICAL CENTER,040002,AR,0,72830.0,
1.0,1,ST ANTHONYS HEALTHCARE CENTER,040003,AR,7,72110.0,
1.0,1,WASHINGTON REGIONAL MEDICAL CENTER,040004,AR,0,72703.0,
1.0,1,EUREKA SPRINGS HOSPITAL,040005,AR,7,72632.0,
1.0,1,"CENTRAL OZARKS MEDICAL CENTER, INC",040006,AR,1,72687.0,
1.0,1,CHI-ST VINCENT INFIRMARY,040007,AR,0,72205.0,
1.0,1,LAWRENCE MEMORIAL HOSPITAL,040008,AR,7,72476.0,
1.0,1,DELTA MEDICAL CENTER,040009,AR,1,72021.0,
1.0,1,MERCY HOSPITAL NORTHWEST ARKANSAS,040010,AR,0,72758.0,
1.0,1,CHAMBERS MEMORIAL HOSPITAL,040011,AR,0,72833.0,
1.0,1,FAYETTEVILLE CITY HOSPITAL,040013,AR,7,72703.0,
1.0,1,WHITE COUNTY MEDICAL CENTER,040014,AR,0,72143.0,
1.0,1,MENA REGIONAL HEALTH SYSTEM,040015,AR,0,71953.0,
1.0,1,UAMS MEDICAL CENTER,040016,AR,0,72205.0,
1.0,1,NORTH ARKANSAS REGIONAL MEDICAL CENTER,040017,AR,0,72601.0,
1.0,1,SPARKS MEDICAL CENTER - VAN BUREN,040018,AR,0,72956.0,
1.0,1,FORREST CITY MEDICAL CENTER,040019,AR,0,72335.0,
1.0,1,ST BERNARDS MEDICAL CENTER,040020,AR,0,72401.0,
1.0,1,SOUTHWEST REGIONAL MEDICAL CENTER,040021,AR,1,72209.0,
1.0,1,NORTHWEST MEDICAL CENTER-SPRINGDALE,040022,AR,0,72764.0,
1.0,1,ASHLEY COUNTY MEDICAL CENTER,040024,AR,7,71635.0,
1.0,1,CROSSRIDGE COMMUNITY HOSPITAL,040025,AR,7,72396.0,
1.0,1,CHI ST. VINCENT HOSPITAL HOT SPRINGS,040026,AR,0,71903.0,
1.0,1,BAXTER REGIONAL MEDICAL CENTER,040027,AR,0,72653.0,
1.0,1,BOONEVILLE COMMUNITY HOSPITAL,040028,AR,4,72927.0,
1.0,1,CONWAY REGIONAL MEDICAL CENTER,040029,AR,0,72034.0,
1.0,1,DARDANELLE HOSPITAL,040030,AR,7,72834.0,
1.0,1,HUNTSVILLE MEMORIAL HOSPITAL,040031,AR,1,72740.0,
1.0,1,LITTLE RIVER MEMORIAL HOSPITAL,040032,AR,7,71822.0,
1.0,1,DERMOTT-CHICOT MEMORIAL HOSPITAL,040033,AR,1,71638.0,
1.0,1,FULTON COUNTY HOSPITAL,040035,AR,7,72576.0,
1.0,1,BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK,040036,AR,0,72117.0,
1.0,1,MEDICAL CENTER OF CALICO ROCK INC,040037,AR,7,72519.0,
1.0,1,ARKANSAS METHODIST MEDICAL CENTER,040039,AR,0,72450.0,
1.0,1,MERCY HOSPITAL OF SCOTT COUNTY,040040,AR,7,72958.0,
1.0,1,ST MARYS REGIONAL MEDICAL CENTER,040041,AR,0,72801.0,
1.0,1,CRITTENDEN MEMORIAL HOSPITAL,040042,AR,1,72301.0,
1.0,1,WRMC GRAYS,040043,AR,1,72501.0,
1.0,1,STONE COUNTY MEDICAL CENTER INC,040044,AR,7,72560.0,
1.0,1,PIGGOTT COMMUNITY HOSPITAL,040045,AR,7,72454.0,
1.0,1,FIVE RIVERS MEDICAL CENTER,040047,AR,0,72455.0,
1.0,1,BATES MEDICAL CENTER,040048,AR,1,72712.0,
1.0,1,OUACHITA COUNTY MEDICAL CENTER,040050,AR,0,71701.0,
1.0,1,DREW MEMORIAL HOSPITAL,040051,AR,0,71655.0,
